#Position PotentialEnergy
0.0000  1
0.0628  1
0.1257  1
0.1885  1
0.2513  1
0.3142  1
0.3770  1
0.4398  1
0.5027  1
0.5655  1
0.6283  1
0.6912  1
0.7540  1
0.8168  1
0.8796  1
0.9425  1
1.0053  1
1.0681  1
1.1310  1
1.1938  1
1.2566  1
1.3195  1
1.3823  1
1.4451  1
1.5080  1
1.5708  1
1.6336  1
1.6965  1
1.7593  1
1.8221  1
1.8850  1
1.9478  1
2.0106  1
2.0735  1
2.1363  1
2.1991  1
2.2619  1
2.3248  1
2.3876  1
2.4504  1
2.5133  1
2.5761  1
2.6389  1
2.7018  1
2.7646  1
2.8274  1
2.8903  1
2.9531  1
3.0159  1
3.0788  1
3.1416  1
3.2044  1
3.2673  1
3.3301  1
3.3929  1
3.4558  1
3.5186  1
3.5814  1
3.6442  1
3.7071  1
3.7699  1
3.8327  1
3.8956  1
3.9584  1
4.0212  1
4.0841  1
4.1469  1
4.2097  1
4.2726  1
4.3354  1
4.3982  1
4.4611  1
4.5239  1
4.5867  1
4.6496  1
4.7124  1
4.7752  1
4.8381  1
4.9009  1
4.9637  1
5.0265  1
5.0894  1
5.1522  1
5.2150  1
5.2779  1
5.3407  1
5.4035  1
5.4664  1
5.5292  1
5.5920  1
5.6549  1
5.7177  1
5.7805  1
5.8434  1
5.9062  1
5.9690  1
6.0319  1
6.0947  1
6.1575  1
6.2204  1
6.2832  1
